username,comments
aciel_2021,Tra tau malu
niar_shizha,😂😂😂😂 paksa diri sekali...
labobar_lisya,Aiiimama…besok2 harus lebih semangatt lagi. Mulai dari pagi2 bgtu 😌
febby6606,Bayaran semua
echon.majefat06,Bah hujan² ni nanti km sakit lagi
rotiunyil_00,Tebak pengeluaran 😁
nursanie._,Ji memaksa smpe😌
geor.gekorwa,Kasihan ya AFU wkwkw
gibranchandraa_,@michaelsolossa weee barang belum seles” lg k 🤣
heysberd_mamoribo,Masi belum sadar lagi ka..
om_joni02,"Dapa wan bnyk jd turung pke pakean adat 😭 ,,, yan pentin akomodasi yelas 😂"
semy_doo24,Senang mandi hujan ee😂😂
aprilio_mmbrsr,"Kam jalan mengatasnamakan mama2 Papua , stop sdh , kemarin Tolak PBD baru skrg paling Ngotot Skali afu memang tra tau MALU"
aakkaa_____,Yg pakai pakaian Adat ni pasti nasi kotak dapat 2 🥱
echat_r_k_jitmau,Demo macam di KPU Maluku k jual smua pake kain merah jd sadar diri perlu… hrg diri dgn nasi padang
michaelsolossa,Ada pantas sorong hujan😔
soqspace_,MALUKU UTARA ADA BUKA PILKADA JUGA TUH GAS SUDAH MO 🤣🤣
novi_kaliele,Mace smpe su pegang bambu ni bahaya😢 dompet sesak memang
puntung4666,Maluku masi kosong itu pi calon su🤣🤣
abangnila46,"Lebih tepatnya itu klu mama su kawin kluar berarti ikut paitua dng ank"" Tdk mungkn mo dtng ambil saudara laki"" Pux hal adat lg atau kesulungan lagi Zz kira dari raja Ampat to jd pasti mengerti akan hal itu"
kgifelem,"UUD Otsus harus di tinjau kembali kalau MRP PBD ambil dari garis keturunan  Ayah/Bapak,  Yg di sebut OAP...kalau "" salah satu orang Tua Papua "" nanti hasil nya seperti begini...karena kalau bicara kultur n budaya orang Papua Perempuan tdk punya hak, yg punya hak anak lak-Laki.. keputusan MRP PBD ini kan beda sma UUD Otsus yg mengatur tentang Orang asli Papua."
andinauriel20,Jngn Paksa diri Tau rumah To plng sna Dasar numpang 😂
peter_gerids,MRP itu perwakilan mayoritas suara masyarakat papua.. kalo kam mau loncat MRP baru besok menang mo pimpin masyarakat apa?
___marselinahu,Plg tdk tau malu😂😂
sayunika_hae,"Bohhh nasi kotak & amplop bikin yg lain nama tengah rela🙃 hujan jga dong tahannn pas,bikin macet sja🤣"
maverick.blesskadith,Sa curiga nakes dan p3k guru Kab R4 dong pu gaji lambat masuk karna su pake bayar org2 yg ikut aksi ini 😭🤣
ferdierdi_17,"arus thu bahaya k ,,,kadang bisa bikin tengelam…😢😢 arus yg di laut mksdnya"
jejekuss,Afu ni de orang apa ka?
falen_safkaur,Sa baru tau kalo ada orang Papua yg pu budaya ikat kain di kepala🤣🤣 sa kira itu orang Maluku punya budaya
capittaliz,Kalo lolos juga tra mungkin tembus 01 PBD OAP kompak
meiiyy_kmb,Ibarat yg kangkung paksa kandung🥲
winwatem_,Habis demo tangan panas mo @ymimawatem 😭🤣🤣
billex13,Arahhhh😭🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
silvashop__,TAU MALU BOLEH
sythaalhamid225,Bukan masalah oap atau bukan. Pertumbuhan ekonomi pariwisata aja stagnan di Raja Ampat 🥴 padahal ekowisata raja ampat itu sangat potensial
vinny.septian,"PAK AFU JUGA JANGAN SERAKAH.  Jangan karena merasa punya uang, segalanya mau dibeli.. Gak usah rampas Hak Orang Asli Papua.  Buat bapak2 MRP, lakukan saja tes DNA supaya ketahuan AFU itu dari etnis mana 😁"
bernadusrivaldo19,Bubar sdh hujan itu
yonas_rejauw,"Yang jelas Ko trada hak maju di pilgub pbd karna ko bukan oap dan dia bupati yang nikmati buah tanggan Bpk almarhum Markus wamna dan  orang"" Yang datang demo ini  dari mana ini? 😂"
chybny_,"bah, tra kenyang 10 tahun kah?😂 Mau tambah lagi kah?😂"
landy_saint,"Bkn mo membela, tp raja ampat sj tdk ad pembangunan bru mau terapkan di Gubernur....sio saja sudah"
4h9106,"Serba salah, klo diloloskan..psti nnti ada demo lgi. Klo tdk d loloskan jga demo tetap lanjut trus. Klo lhat komentar2 di atas. Katanya ikut demo di bayar. Klo di bayar 500 ribu/hari. Lmyan jga. 1 mnggu ikut demo. Su boleh lh. Trserah ikut kubu mana. Yg pnting ada cuan...wkwkwkwkwkkwkw"
mf.erich,"10 Tahun menjabat tra bikin apa² di R4, baru kam paksa de kemari bikin apa. #KamParut. Maitua,Anak,Ipar,  su jadi anggota dewan to, cukup sudah. Papua ni kurang baik apa buat kamu.Kas kesempatan anak² terbaik Negeri ini untuk pimpin."
akuth_pbd,"Sa liat yg demo tadi nih, hampir cuma Pace dep keluarga besar dari Halmahera dan sebagian dari dep Om² mm Ade dong di Rj4 sj, sedangkan tong pux sodara"" pendatang yg lain dari Jawa Sumatra Kalimantan Sulawesi dll dong sama skli tdk ikut demo Krn dorang paham dan tau etika dimana bumi di pijak langit dijunjung, dorang tau ada undang"" yg menjamin hak dasar OAP utk memimpin Tanah Nya. Salam satu Nusa satu Bangsa saudaraku semua 🖐️🖐️"
fonatabasilva30,orang lain ada berusaha supaya jadi tuan tanah di negeri sendiri🙌 lain berusaha demi nasi kotak dan amplop yang isi 100rb😢 menayala papua² ku🤣🤣
bilyhembring,Sio sampe yang turun deng pakaian ada ni kayaknya de pu honor beda 😆🤭
awaaaaaptri_,❤️❤️🙌🔥👏👏👏
bijex.elbarca104,😂😂😂
_imsorryjesus_,arus (afu rakus)
albertinoronaldo,Lucu eee
victororay,Lebih baik Untuk BELAJAR menerima HASIL. Nnti kan masih ada 5 tahun lagi to ??? 😂😂😂 Tapi 5 tahun berikut bapa maju di bapa pu kampung Halaman ASLI saja...😂😂😂
ddebu16,Waduhhh😂
mas_will______,demo tapi jang bakar² jalan bikin macet boleh ohh😭🙌🏼
febbryant17____,lihat dari muka” yg demo nih mcm bukn OAP semua kh 🤣🤣
mcsmds,Semangat..
samuel___rpt,Terlalu tratau malu 🤮🤮
mamitha_momzevazora79,"Demo baru sampah plastik dll sepanjang jalan kenangan ,siooo sja kesadaran d mana kh, esmos  ee liat kebadakian tdi🤬"
iintan_naa,🔥🔥🔥
rthbrigadt,Serius ini demo apa ?
btricesd_0,"Sudahh,,,kumpul tua' adat Bru buktikan lewat jalur adat sj Bru buktikan klu memang OAP asli (suku Maya),bikin di R4 sana."
yusufyudefa,"Kasian rakyat  kecil yang di suruh ikut  demo nih, harusnya ada kerja🙃"
dihannnntaesa,🤣
karathseppy22,Terlalu rakuss
isewe_f,Sebenarnya yang mengakui AFU sebagai OAP ini orang yg tdk punya otak atau bgaimna ini ???
forlan_12,Maki dorang eee 😀🤣
wollongongjackass,Bikin macet... yg model gini jgn di jadikan pimpinan...
mes_bobot,"Orang MALUKU punya adat tu biasa ikat kain merah di kepala, masa km pake ada Maluku demo KPU Papua yang benar saja dong,pantas gak adat😂😂😂"
papeda.bungkus,Awokawokawokawok
taniaghee,Jiii maksuuuud 🤣🤣🤣
omy_febriana,Kam2 ini dpat bayar brp e 🥲
kajull_b,Yg pakai pakaian adat ni de pu amplop paling tebal🔥
novela_kptrw,TERLALU HAUS KEKUASAAN SAMPAI!!!!!!!
nvndlvwest,"Tau diri lebih baik, dari pada paksa diri.! Dong demo baru hujan turun kaitan itu anak adat, makanya turun hujan jadi bukti, mangkali pace de keturunan BMKG kapa😭🤣"
ranseaitim,Aparat kepolisian yg andalan tetap menjaga keamanan di kota sorong👏👏
rudy_rev,Sudahlah jangan terlalu rakus
darurat.korupsi,1 kata untuk yang DEMO dan hujan badai 👉👉👉👉
ewayori,"Berdoa Banyak Sodara Sodari ku Semua Ini  Adalah Pekerjaan Iblis Roh Pemecah Yang Memprovokasi tong orang Papua untuk baku kasih jatuh jelas"" AFU Itu Sdah Bikin Hancur Raja Ampat jangan Tong Pnya Provinsi yang belum 1 THN ini nanti hancur seperti Raja Ampat di tangan Seorang AFU"
_duwit4yrbb_,Kam semua baku tipu saja 🤣🤣🤣🤣
bryanletlora,"Bbeehh,,, Kam terlalu paksa diri sampe,,!!"
marseljitmau,"Yg pake atribut Harga diri ni, de amplop paling tebal kapa.😂😂😂😂😂"
bgzwhyustr_,Hobi demo
silvhyaa__,1 org dpt byr brpa ?? Maaf tnya sja
ungkevan,Berjuang untk rakyat atau berjuang untk bangun dinasti ?
guntamanuputty,ARUS LOVE 🤪 @oncho___
aprilio_mmbrsr,"Muka2 tukang panipu dari raja4 semua yang muncul depan PBD , baru bawa DTG masa ke KPU , sa macam lihat 3 trek keluar td dari kampung key kha.."
irsan.ehewoda123,Terlalu keliatan bahwa siapa yg rakus akan jabatan...
jezy3010,1 kepala isi amplop brp ni
aprilio_mmbrsr,"Kam Demo sampe bulan November ee supaya langsung Lantik Kam pu gubernur tukang Bikin Ricuh itu, jd gubernur untuk jalan bayar2 orang demi de pu kepentingan 🤣😂"
ima.msp,"Hujan tuh sio, nnti pulang kam sakit 🥹"
pcayau_,Sa yang anak asli Raja Ampat macam sa yang balik rasa malu k
sflss_14,"Kamu pergi aksi demo di R4 sana,karena kamu2 ini saja ni bikin kita mau pulang tidak bisa ikut Dpn walkot🫵🥵"
agaghshshssbbn,🤣
awakwabdaron026,🤣🤣🤣🤣🤣🤣
allowwwwwww__,Aruss love bnyk² ❤❤❤
cmroses_,Episode 2 😭
sitirahmaalting,Mau komen tapi tra jadi sudah 🤣 @kikizulqaidah
sitirahmaalting,@rustamtutupoho ada ko di situ to? 😂
joishbmsaja,Yang pake pakaian adat ni kayanya bayaran tersendiri kp🤣
ekiin0_,Kasihannn tra cpe ka😢😢
ligebri93,Sangat mengganggu aktivitas jalan utama. Maaf tidak pilih orang ini nanti pas pemilihan.  #AFUBIKINMACET
elroy_kirihio,Blm jadi apapa lagi su bkin susah org lain. Bgmn kalo jadi...😂
mairmarvick,semakin demo semakin menunjukkan dirinya haus & rakus akan kekuasaan
rakasandro,Bukan orng papua bru paksa diri smpe ee
masithaasnawirr,😂🤣
rakasandro,"Tdk malu ka sma yg pnya tanah jiiii stop bkin geli sda raja ampat sj tdk ada hasil apa"" bru mau sibuk pimpin sorong stop mimpi badaki sda 🖕🖕🖕🖕🖕🖕"
frankoisisir12,"Afuu sebenarnya tauu diri sajaa ada melakukan pembangunan apa di raja Ampat bruu mau maju provinsi lagii Bru sekarang mau kerja sama dengan LJ barang semua Tuhan tutup jalan sama"" Kam 2 karena sama"" gagal dan tidak membangun tapi melakukan politik kekeluargaan dan politik kelompok jadii Tuhan tutup jalan supaya yang maju di provinsi ini tuu orang l"" yang membangun dan punya visi dan misi yang jelas"
mendo_rumkorem,Lumaya 1 orang @ 100.000 den nasi ayam 🤣🤣
litagirot,"Sudahh kah.... pace LJ saja yg berjuang PBD tidak bisa mencaLonkan tapi macam tdk ada demo kayak begini.. masa yg minta"" Hak Kesulungan itu pake acara demo lagi 🤣 sayang mama"" deng bapa"" tuh ohh, hujan"" baru 🥲"
winowamea_,kam paksa sampe jih 🤣
viokarubuy,Kali ini MRP luar biasa keputusan yang baik dan benar🙏🏻🥹
_sicaantikkk,ARUS ❤
mellaaneeesiia__,"Ciri"" manusia tidak tau diri, Su datang tinggal di org pnya rmh, mkn di org pnya rmh baruu berteriak mo kuasai org pnya rmh jadi rmh pribadi yeikkk SADAR DIRII WOII!!!"
makurano18___,Tau berjuang untk mnghdirkan PBD jdi🤣🤣🤭
ayomisaulll_,Kam yang demo ni besok dong jadi gubernur Kam yang mengeluh paling banyak orang Papua seehh
brammasosendifu,"Bkin mcet sjah , orng mo mencari  susah perhambat gra"" kamu ini"
meilanmambrisauw,"BAWA PIRING2 SEMUA DARI RUMAH BARU BANTING DEPAN KANTOR KPU,tong tinggal di R4 dr pemekaran 10 thn itu R4 bagus, tp 10 mendtng ini macam kota mati, sampe tong rasa macam tong ini pemdatang karna amber semua yg ada di r4 itu kuasai tmpt2, mo heran tapi biar sdh nasi su jadi bubur. 🤣🤣🤣"
hernuskein,JILAT TRUSS
l_r0x_spackman96,Yang demo ni donk satu² orang dpt byr berapa ?😁🤦. ( AFU ) Bpk Harus Tau diri & Sadar diri sjh.🙏
kambuaya_norman,Maki dia dulu i
tiaraarfann,Km RELA smpe🤣
meysaba24,"Piwa... Km jalur nenek mama, masih bikin pengakuan LG 🤣🤣🤣 hncr e"
samuelick,yang demo nih orang Eropa kah jadi tidak tahu regulasi OTSUS.AFU kasih kam demo 1 orang berapa ka tanya saja
dwikid5_,"bikin macet saja, massa bayaran ini"
olivia_wawiyai,Kerja keras apa ee ? 🤣
isal_2223,AFU kalah ?? Bernard Sagrim jg akan kalah 🤣 kalah knp ?? karna pendukung LJ benci sm bernard sagrim 🤣 siioo yg menang harapannya semoga pak elisa kambu sajalah atau tidak pak john wayangkau 🤣 provinsi mau dipimpin mantan koruptor ini yg lucu sekali 🤣
rezamagri,Menyala 100rb 🔥🤣
official_kakadai_19,Sebelum demo dpat Amplop jdi suara Besar 😂😂😂😂😂
relaa_24,"Demoo smpe air mata darah keluar jg bsk PBD tuh akut yg stel jdi dri pada bikin cape diri lbih baik plng makan, mndi, cuci kaki, tangan, bru tidur sdhsorong ni lgi musim hujan, jln licin lgi kasihan nnti km smua jatuh 🤭🤭"
indrasukarmo,"Yang asli itu biasa tenang2 saja,tdk butuh pengakuan..."
ah80379,R4 Seram dan sekitarnya juga bagian dr PBD jd masi bagian OAP.
ariltamimaa,wih ad s bp🤣
wanu_mazmur_rouw,"Tong ambil contoh kecil saja,ruang tunggu pelabuhan raja 4 dari pace afu naik sampai sekarang tidak ada perubahan sama sekali.dan raja ampat yg di juluki sebagai the last paradsise tidak ada kemajuan sama sekali,contoh kecilnya lagi, kapal wisata yg berlayar di raja ampat pertahun nya harus bayar 100 s/d 200 juta pertahun,itu untuk 1 kapal saja,coba di kalikan 90 kapal wisata yg berlayar di perairan raja ampat su begitu mirisnya objek wisata seperto wayag tidak di perhatikan baik masalah sampah2nya.soo broh 2 periode saja tra bisa urus kabuten baik,apalagi mo urus propinsi ??ancur sudah tanah papua"
_jefrimustafa,ARUS menyala 🔥
febyyyyn,"MO BAKU MELAWAN APA, INTINYA ATTA YG HARUS PIMPIN PBD 🔥🔥🔥"
aprilio_mmbrsr,"Kitong Orang Raja Ampat asli nih tidak seperti Kam bgni , Torang nii : Kam tidak suka kita , iya sdh TDK apa2 , kita tidak akan paksa diri apa lagi sampai begini, kami orang raja Ampat nii , suku yang paling rendah diri dan tau diri , tidak seperti Manusia2 yang demo ini,minta tolong untuk jangan bikin kami sebagai orang Raja Ampat nih pu Citra Rusak Sudah ... Kam Ribut2 apa ? November tuh Orang su LANTIK GUBERNUR PILIHAN RAKYAT DAN PILIHAN NEGARA🔥"
sorong.raya30,Ikat kain merah ini kan adatnya Kei atau Maluku toh? Jadi secara tidak langsung AFU sudah menunjukan bahwa dia bukan OAP!!!
homeritin10,Datang merantau ke org punya TEMPAT ADA BAIKNYA SADAR DIRU 🤣 RAKUS sampe hahaha…
nadyaahasan19,ARUS 🖤❤❤
aprilio_mmbrsr,Minta MERDEKA tp dikasi OTSUS... dan OTSUS yg dikasi pun cacat... sungguh penderitaan dan kesedihan yg tiada akhir... seandainya KPU msh tdk harga Keputusan MRP ...maka percuma OTSUS...OTSUS hanyalah hiburan dan cerita dongeng semata
bigmountain9737,"Stengah mati brg apa, tra tau diri smpe.. jihh malule.. 😀😀"
canine.trovert_,"Model kam yg Non-OAP baru bataria MRP tentang hak kesulungan orang Papua ni, kam ke Jayapura boleh o kam tdk dapat kejar sampe kamu smua putussss tu hahaha WA WA WA"
andholyno,"AFU jadi Bupati saja pulau Sain dgn Pulau Piay de su lepas ke Halmahera, apalagi kalau jadi Gubernur. Bisa2 Raja Ampat de kas masuk ke Maluku Utara 😂"
aldostmx99,Kita ini anak-anak Tuhan tdk boleh baku marah
sarasmelanesya,Kalau Tamu ya! Tetap tamu & bukan pemilik ruma. Slm damai 🧡 🔥
11.dumpyss,"km cari brg apa ni, cukup raja ampat sj yg 10 tahun jdi kota mati k"
mrmdn11_,🤣🤣🤣🤣
mr.rkoropasi,Akhirnya selesai jg
samiyadismansa,"Sehat selalu komandan, 🤲👍"
damaskuz24,kam mo banggakan mantan bupati maybrat yg pernah terjerat kasus korupsi kah?
debbylwlta,🤣
debbylwlta,🤣🤣
ryan_wiliam15,Afu boleh tra rasis kalau yg lain aduh pos semua dong keluarga yg isi😂😂
alex.th3s1a,"Jng paksa diri OAP. Sadar diri, nanti di tny ko pny tanah adat dimana? Dan kamu pny suku sama keret itu berasal dari suku. Mana jadi stop paksa diri jadi OAP. Orang bisa lihat dari marga saja sdh jelas2 bukan orng papua, coba cek dulu, dia pny marga ada di daerah mana"
forlan_12,"Kamu orang maybrat yg ikut dlm aksi ini memang TDK punya moral & harga diri.,jual harga diri dengan nasi bungkus & uang 100 ribu dasar SAMPAH"
homer_sira,Jangan paksakan kehendak terlalu GALOJO MODEL APA INI
dea_nisaa,Mcm rakus k trllu paksa sampeee
ymimawatem,Kam bicara banyak apa? Kamu akui dia habis apa yang de buat di kabupaten Raja ampat ini untuk kamu??
rayjumame,Bapa ini tanah moi bukan raja 4 minta maaf lagi bapa. 😂
pace_kakiabu87,"Simpel saja, org yg minta rekomendasi atau dukungan dari LMA berarti dia bukan orang asli"
sanlagilovee,Banting piring bagus sdh tapi ini tanah moi bukan tanah R4🤦🏽‍♀️🤣
bocep_marcopolo,Pasukan Nasi bungkuss + amplop !!!
michaelsolossa,Bah kasihan piring makan tu😂
iamvincentkocu,Ngotot bagus ee macam ada tau berjuang lahirkan provinsi PBD
geor.gekorwa,"Dinamika dalam politik boleh, tapi dinamika yang harus sehat,  AFU ada bikin apa untuk raja Ampat? Kasihan pantai WTC yang di bangun oleh bapak M Wanma tidak dilestarikan dan dijaga wkwkw"
ramharasarwa98,Kam dapat bayar berapa dari AFU?? KELOMPOK jual harga diri demi nasi bungkus baru nanti pulang muka kering di laut!!!
semy_doo24,Bah kasihan piring tu tra salah apa”🤣🤣
wabdaron_jbois_48f,"Bapak harus tau ""Barang siapa yang bekerja dengan setia, jujur dan dengar""an, maka ia akan berjalan dengan tanda heran yang satu ke tanda heran yang lain.. CAMKAN ITU BAIK BAPAK."
echyftm,Kas pica piring smpe piring habis situ sdh 😂
virgo30august,Terima kenyataan sudah! istri sudah di DPR RI to.. Bapak support istri saja sudah 🙏
allvierroo__,"Kam senang dia ee, de besok naik nnt de lihat kam jd☺️"
sallo_824,So dpt suap jdi crewet🥱
boylemauk18,Demo” saja  yg jadi gurbenur su ada ✌🏼😁 dan pasti org maybrat 🔥🔥☝🏾
jane_mate_,Bukan OAP. TITIK👌🏻
ireneburdam,Terlalu lawak dan benar benar pencitraan🥴🤮
adeinsos_07,"We Talk About BLOOD ❤️, sampe Disni paham titik lanjut"
teguh_s_w_furu,Raja Ampat seh dana ratusan milyar itu kemana tidak ada pembangunan disana 😂😅 ketong tdk tinggal disana tapi liat perkembangan dari sosmed saja begitu begitu saja mo padahal pariwisata disana ok baru 🔥🔥
untuk_papua,"@awaaaaaptri_ bah hapus komen tuh, kenapa malu kah🤣? ko yang paling berkoar2 baru masa e🤣"
k2rt_infoo,Banting piring itu yg Sorong tinggal hujan trus ini
breezya_annamaria,"kamu ini tanah moii weee bukan raja4, kalau asli moi yang bicara komplen trappa sudah, 😭 kam mho berhak tanah moi??? kam tidak malu orang moi dong jiahhhhhhhhh"
adven_sabono,Klo su banting piring ini kayanya banjir nnti ini
agnes.rahmawati.10,"Klo bagus  perlu diperjuangkan, tp klo tidak , buat apa capek capek.perjuangkan ."
mes_bobot,Model begini yang tdk pernah berkembang baru tinggal mau jadi babu ditanah sendiri
cilakrbb,Ihh paksa diri😁🤭
angel_pakage,Stop bikin malu diri 😂
_brkmwr,Waduh kas bae2 waisai saja dlu sdh
pengendali_hujan69,"Minta maaf sebelumnya terlepas dari de mau calon kah apa itu sa tra perduli... Tapi dengan keputusan ini berarti tong yg mama papua kawin dengan Jawa ini tong su tidak tergolong oap dan tong pu anak"" Juga seterusnya? Harga perempuan di adat su tidak ada karna politik ini tapi nnti klo dong bayar harta buat perempuan papua yg laki"" Semua tuntut hak!! Jangan karna politik kamu lecehkan rahim perempuan papua!! Kami yg mama papua bapa Jawa jujur sakit hati dan kecewa terlepas dari pada pace sapa nih de tra lolos ee!!"
abcdefghijklmnapiboleh,"Sio dong pu piring makan su picah.😪 Setahu mimin, yang namanya hak kesulungan itu melekat sejak lahir, identitas itu tdk diberikan pas mo pendaftaran bakal calon saja. Dari sini saja sdh gagal.🔥 OAP itu jelas, Bapa Marga tanah atau mama marga tanah. 🔥🔥"
fonatabasilva30,Kam ini siapa ee?? Marga suku apa?? Hak sulung apa?? Pii pulang di halmahera sana🫠
kellywerimon,Kalian harus akui dan hargai uu otsus karena itu permintaan kita oap.. Jangan karena kepentingan politik kemudian kita bikin rusak uu yg menjadi kekuatan kita oap
rudy_rev,"Siapa yang terbitkan hak itu?, hakkesulungan di dapatkan dari garisketurunan ayah dan ibu papua danbukan di tulis di kertas. Kalaukosong sebelah ya ikut menikmatisaja karena tidak ada yang suruh orang tua mereka cetak mereka"
homeritin10,"Jii ngotot bagus eh…orang perjuangkan PBD ni AFU punya uang berapa banyak yg di korbankan untuk hadirkan PBD, kelompok sogokan kam pergi pindah domisili di Ternate sana baru coblos AFU disana sudah🤣🤣SADAR DIRI ITU PERLU🤣 KELOMPOK TERLUCU"
zeka_gele,AFU bayar per kepala kapa 😂😂😂
yehuda3296,Tdk ad istilah ko punya mama papua jdi punya hak kesulungan tidur terlalu miring itu belajar sejarah papua dluh mc dan pc jgn jual hak kami yg punya hak penuh sesuai uu adat papua di lahirkan dari bapa papua bukan mama papua titik.
73456841121_,"𝚁4 𝚖𝚊𝚌𝚊𝚖 𝚔𝚘𝚝𝚊 𝚖𝚊𝚝𝚒, 𝚜𝚎𝚝𝚎𝚕𝚊𝚑 𝙰𝙵𝚄 𝚗𝚊𝚒𝚔. 𝙲𝚞𝚖𝚊 𝚋𝚊𝚙𝚊𝚔 𝚖𝚊𝚛𝚔𝚞𝚜 𝚠𝚊𝚗𝚖𝚊 𝚢𝚊𝚗𝚐 𝚍𝚒𝚓𝚞𝚕𝚞𝚔𝚒 𝚜𝚎𝚋𝚊𝚐𝚊𝚒 𝚋𝚙𝚔 𝚙𝚎𝚖𝚋𝚊𝚗𝚐𝚞𝚗𝚊𝚗 👍🏼👍🏼👍🏼"
4h9106,"Tpi knpa rekomendasi mrp terbit setelah daftar ya ? Harusnya sebelum dftar harus diverifikasi dlu smua.  Minimal klo tra tmbus d pndftran, prtainy bisa dukung pak LJ.  Soalnya Pk LJ termasuk kndidat kuat jga"
hoedaisme,maju terus AFU........jangan gentar... jangan kasih kendor
ular_putih09,"Manusia trll serakah jabatan tuh nan bgn, sgl cara akan di lakukan, dar minta rekomendasi LMA sampai skrg demo trajls, tralama besok d ganti marga lg. Yuh paksa diri skl pulang sana ke tidore!!! menghayal duduk di kursi nomor 1 PBD, mmgnya su trada anak asli yg bisa bawa marga jd kamu yg samar2 ini mau paksa diri🤮"
pa_nauw_27,"Su ngotot bagus tu dapat kasih brapa 1"" orang😂😂"
melanesia86official,"kalau begitu, nanti KPUD Maluku Utara tolak saja kalau beliau daftar lagi di sana 😅"
warex_4_20,BENSA DIAM DIAM MENGHAYUTKAN 🙌 TANDAI SAYA JIKA BELIA DI LANTIK MENJADI GUB PBD🔥
waribo_pace_lolaro,"Bukan karena personal yang secara study antropologi tidak di akui.Mau laga Jadi Raja Jawa di tanah Papua ini yang,OAP yang ada kumpul ka itu semua dapat isi dalam karung.✍️"
sayam_kokor,Rokok itu bahh🤣
wambrauwois_02,Bgni hanya krna nasi kotak Deng amplop mlm kapa?
niar_shizha,Betul sekali. Raja4 sejak de pimpin jadi hutan.. sibuk dgn memperkaya diri dan teman²nya saja😂😂😂
niar_shizha,Afu kasih kam doi brp mau triak² di sana 😅
miselkin_f,"Arus perubahan tai, RajaAmpat su 10tahun tara ada mo bagus sedikit, duduk tinggal ksh jaya dong pu orang dalam bikin rumah bagus² , bikin pangkalan minyak, bikin resort ksh cantik akan.. memang andalan bapak BUPATI, trllau paksa diri mau jdi gubernur sorong tpi kabupaten kecil kyak RajaAmpat sja siooo"
kara_syatfle,"Mau aksi coba ajak"" ka biar tong lagi dapat ongkos data😁"
nakoh_28,Malunya di simpan dimna itu tolong bantu di cari kwn2 rakusnya terlalu nampak🙌
mr_b_isir,"Sedih , Sykur pring ni orang yang Su siap’kan jdi…Tdi kalau piring dirumah ni Kynya Afu dpt maki lapis dgn om yg banting akan kapa..🥹😅🤣"
samuel.howay,Pace dia bicara apa itu
ruffy8615,Afu dia orang Papua k.....???
ruffy8615,Dapat bayar berapa dari afu 🤣🤣🤣
joishbmsaja,Ihhhh maki dia dulu eee
ita_murafer,Semua mo maju baru sapa pilih Kam?
ell140987,"ARUS lolos... Kalo mau jegal Arus, jegal di pertarungan PILGUB. Belum berperang aja sdh menjegal. Kalo gentle kasih kalah dia di PILGUB"
ichad_riupassa,Arus putus ee.. lautan teduh 😌
jetroh_23,Adohhhh stop sudah tong yang tinggal di waisai sana tunggu taxi dari jaman adam sampe jaman adam pu nene juga taxi tu tra keliatan de pu spion jadi jangan bikin lemon di papua barat ini sudah😊
nesta_2303,Politik smakin panas hujan smakin ganas 🤣
noharr____,Rakus jd orang Papua e
alvinsntuf,piring klo bisa bicara'( 🍽️sa salah apa bpk😢💔)🤣🤣🤣🤣🤣🤣
raja_ampatparadise,Afu out🔥
kunradmalak,Piring su habis tu pulang mkn pake daun🤣
cndyychrlnaa__,"Cobalah orng” yg ada di waisai angkt suara trus ksh bukti yg bnyk di rj4 sna. Biar dtng ksh tunjuk di orng” yg otak tatutup, karna uang jdi apapun yg salah sja dong ksh benar 🥱🔥"
masithaasnawirr,"sa cape like orang2 pu komen, haee mo blg tp diam sj sdh🤣🤣 @dihannnntaesa"
kdhw._,Kam su dapat janji barang apa ni 😅 sampe berjuang sx 😁
hkbkarlos,Aduh sa ad PKL di KPU malah demo lagi Mayan tra jadi masuk🤣
angelicamslry,Pantasan mama piring kurang drmh bhahaha
priscillabless1,Bukan OAP tapi paksa diri mau jadi OAP. . Afu kah siapa pun orang nie
_kasuari_,"Sio, de OAP jadi 🤣"
calon_almahrum____,Suh cair kapa😂
novi_kaliele,Demi sesuap nasi
arhdian_,Orang2miskin tdk ada kerjaan ee
vallenas79,Taratau malu....dulu orang berjuang untuk hadirkan propinsi PBD kalian dan Mr.AFU ada dimana??????? Huaaeee....urat malu tacukur
ficses_08,😂😂🙌
vian_osd,Oo
atta_west,Bcra smpe anak lidah putus juga trd yg mo dgr ko😭😭🤣🤣🤣
jhejherons26,Jiiii dong main??? 😂😂
mirino95,Adhoo tanah moi ini
atta_west,dpt bayar brpa smpe bwa nma suka maya suka besar maya dong tdk tau ko ini dari dunia mana rakus😂😂😂
cr_bapa7,Sekarang nih kayanya ada atur strategi lagi untuk demo ini🤣🤣🙈
jaga_papua,Uang Merah
cr_bapa7,Main tanam²🙈🙉🙊
yyoeba,Begini yang nanti Pilkada Gubernur nih
iandwilliamb,Stop baku tipu rame 😌
atta_west,Stop mengakuh suku maya yoo tra tau malu ee
regiussiger107,PAMBODOH
ishabon2023,"Awas.... ko kata"" yg banting piring balik serang ko lagi.......🤣🤣"
rirariron,🍽️ : sa salah apa😢
duaramuryafe,"Piring itu tra salah om, piring itu untk pake mkn bkn di banting!!"
ampassemalam,Akhirnya perairan PBD tenang tanpa aruss💨
edwin_vyak,Suku MAYA dari Amerika Tengah itu bukan Suku papua 😂😂😂 angkat dia jadi gubernur di Meksiko atau Guatemala sana 😂😂😂
_jujho,"Ini yg dong bilang demi kekuasaan, maka segala cara akan di lakukan 👏"
